vgsales.rank,vgsales.name,vgsales.year,vgsales.genre,vgsales.publisher,vgsales.na_sales,vgsales.eu_sales,vgsales.jp_sales,vgsales.other_sales,vgsales.global_sales,vgsales.platform
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69,3DS
15074,Thomas and Friends: Steaming around Sodor,2015,Action,Avanquest Software,0,0.02,0,0,0.02,3DS
16538,Mushi Bugyou,2013,Action,Namco Bandai Games,0,0,0.01,0,0.01,3DS
3150,Rayman 3D,2011,Platform,Ubisoft,0.23,0.35,0,0.06,0.64,3DS
14971,Teddy Together,2016,Simulation,Nintendo,0,0.02,0,0,0.02,3DS
3203,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,2012,Misc,Namco Bandai Games,0,0,0.63,0,0.63,3DS
3208,Angry Birds Trilogy,2012,Action,Activision,0.38,0.2,0,0.05,0.63,3DS
3223,Dragon Quest Monsters Joker 3,2016,Role-Playing,Square Enix,0,0,0.63,0,0.63,3DS
3252,LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,0.29,0.28,0,0.06,0.62,3DS
3280,Toshochu: Run for Money,2012,Adventure,Namco Bandai Games,0,0,0.62,0,0.62,3DS
3300,Cooking Mama 4: Kitchen Magic!,2011,Simulation,505 Games,0.5,0.07,0,0.04,0.61,3DS
16531,Kiniro no Corda 3,2015,Adventure,Tecmo Koei,0,0,0.01,0,0.01,3DS
3351,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6,3DS
3373,Scribblenauts: Unlimited,2012,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0,0.04,0.6,3DS
14831,Dream Girl Premier,2015,Misc,Alchemist,0,0,0.03,0,0.03,3DS
14819,The Legend of Korra (3DS),2014,Strategy,Activision,0.02,0,0,0,0.03,3DS
14779,3DS Classic Collection,2016,Misc,Sega,0.02,0,0,0,0.03,3DS
3463,Frozen: Olaf's Quest,2013,Platform,Disney Interactive Studios,0.27,0.26,0,0.05,0.58,3DS
14769,Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,2013,Fighting,Arc System Works,0,0,0.03,0,0.03,3DS
14750,Pro Evolution Soccer 2012,2011,Action,Konami Digital Entertainment,0.02,0,0,0,0.03,3DS
3506,Shin Megami Tensei IV,2013,Role-Playing,Atlus,0.28,0,0.27,0.02,0.57,3DS
3541,Skylanders: Spyro's Adventure,2011,Action,Activision,0.32,0.2,0,0.05,0.57,3DS
